address1,postcode,api_request_status,address2,address3,building-reference-number,current-energy-rating,potential-energy-rating,current-energy-efficiency,potential-energy-efficiency,property-type,built-form,inspection-date,local-authority,constituency,county,lodgement-date,transaction-type,environment-impact-current,environment-impact-potential,energy-consumption-current,energy-consumption-potential,co2-emissions-current,co2-emiss-curr-per-floor-area,co2-emissions-potential,lighting-cost-current,lighting-cost-potential,heating-cost-current,heating-cost-potential,hot-water-cost-current,hot-water-cost-potential,total-floor-area,energy-tariff,mains-gas-flag,floor-level,flat-top-storey,flat-storey-count,main-heating-controls,multi-glaze-proportion,glazed-type,glazed-area,extension-count,number-habitable-rooms,number-heated-rooms,low-energy-lighting,number-open-fireplaces,hotwater-description,hot-water-energy-eff,hot-water-env-eff,floor-description,floor-energy-eff,floor-env-eff,windows-description,windows-energy-eff,windows-env-eff,walls-description,walls-energy-eff,walls-env-eff,secondheat-description,sheating-energy-eff,sheating-env-eff,roof-description,roof-energy-eff,roof-env-eff,mainheat-description,mainheat-energy-eff,mainheat-env-eff,mainheatcont-description,mainheatc-energy-eff,mainheatc-env-eff,lighting-description,lighting-energy-eff,lighting-env-eff,main-fuel,wind-turbine-count,heat-loss-corridor,unheated-corridor-length,floor-height,photo-supply,solar-water-heating-flag,mechanical-ventilation,address,local-authority-label,constituency-label,posttown,construction-age-band,lodgement-datetime,tenure,fixed-lighting-outlets-count,low-energy-fixed-light-count,uprn
"7, Blackthorn Close",PO33 1HY,multiple_records_found_took_most_recent,,,5128436378,D,B,64,85,House,Mid-Terrace,2019-05-25,E06000046,E14000762,,2020-02-28,RHI application,67,87,218,61,2.4,37,0.7,59,59,369,284,416,267,65,Single,N,NODATA!,,,2206,100,"double glazing, unknown install date",Normal,0,3,3,89,0,From main system,Very Poor,Poor,"Solid, no insulation (assumed)",NO DATA!,N/A,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,None,N/A,N/A,"Pitched, 270 mm loft insulation",Good,Good,"Air source heat pump, radiators, electric",Good,Very Good,"Programmer, TRVs and bypass",Average,Average,Low energy lighting in 89% of fixed outlets,Very Good,Very Good,electricity (not community),0,NO DATA!,,,,N,natural,"7, Blackthorn Close",Isle of Wight,Isle of Wight,RYDE,England and Wales: 1976-1982,2020-02-28 15:48:37,rental (social),,,1.00061E+11
"53, East Wichel Way",SN1 7AD,one_record_found,,,2673687678,C,B,77,90,House,Mid-Terrace,2019-11-20,E06000030,E14000947,,2019-11-21,rental (social),76,90,144,50,2.2,25,0.8,69,69,365,323,100,68,87,Single,Y,NODATA!,,,2106,100,double glazing installed during or after 2002,Normal,1,3,3,100,0,From main system,Good,Good,"Suspended, insulated (assumed)",NO DATA!,N/A,Fully double glazed,Good,Good,"Cavity wall, as built, insulated (assumed)",Good,Good,None,N/A,N/A,"Pitched, 270 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0,NO DATA!,,,,N,natural,"53, East Wichel Way",Swindon,South Swindon,SWINDON,England and Wales: 2007 onwards,2019-11-21 20:51:30,rental (social),,,10090041470
"24, High Street",SP11 9PZ,one_record_found,Ludgershall,,941238568,C,C,73,73,House,Semi-Detached,2009-02-19,E06000054,E14000665,,2009-02-24,rental (social),61,61,306,306,3.5,46,3.5,42,42,264,264,126,126,76,dual,N,NO DATA!,,,2402,100,double glazing installed during or after 2002,Normal,0,3,3,100,0,"Electric immersion, off-peak",Average,Poor,"Suspended, insulated (assumed)",N/A,N/A,Fully double glazed,Good,Good,"Cavity wall, as built, insulated (assumed)",Good,Good,None,N/A,N/A,"Pitched, 250 mm loft insulation",Good,Good,Electric storage heaters,Average,Poor,Automatic charge control,Average,Average,Low energy lighting in all fixed outlets,Very Good,Very Good,electricity - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.4,0,N,natural,"24, High Street, Ludgershall",Wiltshire,Devizes,ANDOVER,England and Wales: 2003-2006,2009-02-24 18:24:32,rental (social),,,1.00121E+11
"7, Calcot Place",RG31 7RT,one_record_found,Low Lane,,3082797668,D,C,65,74,House,Enclosed End-Terrace,2009-07-16,E06000037,E14000890,,2009-09-26,rental (social),58,70,351,256,3,59,2.1,25,25,422,336,134,97,50.2,Single,Y,NO DATA!,,,2104,0,single glazing,Normal,0,2,2,100,0,From main system,Average,Good,"Solid, no insulation (assumed)",N/A,N/A,Single glazed,Very Poor,Very Poor,"Solid brick, with internal insulation",Good,Good,None,N/A,N/A,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Average,Good,Programmer and room thermostat,Poor,Poor,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.27,0,N,natural,"7, Calcot Place, Low Lane",West Berkshire,Reading West,READING,England and Wales: before 1900,2009-09-26 20:53:53,rental (social),,,2.00005E+11
"11, Lancaster Green",SO20 6DQ,(),Kings Somborne,,1344244968,C,B,79,90,House,Mid-Terrace,2018-10-10,E07000093,E14000901,Hampshire,2018-10-10,RHI application,81,91,121,45,1.7,20,0.6,99,63,367,374,76,76,83,Single,N,NODATA!,,,2206,100,double glazing installed during or after 2002,Normal,0,4,4,44,0,"From main system, plus solar",Average,Very Good,"Suspended, insulated (assumed)",NO DATA!,N/A,Fully double glazed,Good,Good,"Timber frame, as built, insulated (assumed)",Good,Good,"Room heaters, electric",N/A,N/A,"Pitched, 270 mm loft insulation",Good,Good,"Air source heat pump, radiators, electric",Average,Very Good,"Programmer, TRVs and bypass",Average,Average,Low energy lighting in 44% of fixed outlets,Average,Average,electricity (not community),0,NO DATA!,,,,Y,"mechanical, extract only","11, Lancaster Green, Kings Somborne",Test Valley,Romsey and Southampton North,STOCKBRIDGE,England and Wales: 2007 onwards,2018-10-10 16:10:42,rental (social),,,10023629060
"1, Lancaster Green",SO20 6DQ,(),Kings Somborne,,5883244968,C,B,76,89,House,Semi-Detached,2018-12-10,E07000093,E14000901,Hampshire,2018-12-18,RHI application,79,90,151,59,1.6,25,0.6,51,51,333,333,130,130,63,Single,N,NODATA!,,,2206,100,double glazing installed during or after 2002,Normal,0,2,2,100,0,"From main system, plus solar",Average,Very Good,"Suspended, insulated (assumed)",NO DATA!,N/A,Fully double glazed,Good,Good,"Timber frame, as built, insulated (assumed)",Good,Good,None,N/A,N/A,"Pitched, insulated (assumed)",Good,Good,"Air source heat pump, radiators, electric",Average,Good,"Programmer, TRVs and bypass",Average,Average,Low energy lighting in all fixed outlets,Very Good,Very Good,electricity (not community),0,NO DATA!,,,,Y,"mechanical, extract only","1, Lancaster Green, Kings Somborne",Test Valley,Romsey and Southampton North,STOCKBRIDGE,England and Wales: 2007 onwards,2018-12-18 09:28:19,rental (social),,,10023629050
"24, Dryden Close",PO16 7NJ,(),,,3335800478,C,B,69,87,House,End-Terrace,2015-10-22,E07000087,E14000699,Hampshire,2015-10-26,non marketed sale,68,86,206,63,2.4,36,0.8,74,48,416,369,111,63,66,Unknown,Y,NODATA!,,,2104,100,double glazing installed before 2002,Normal,0,4,4,44,0,From main system,Good,Good,"Solid, limited insulation (assumed)",NO DATA!,N/A,Fully double glazed,Average,Average,"Cavity wall, as built, insulated (assumed)",Good,Good,None,N/A,N/A,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Average,Average,Low energy lighting in 44% of fixed outlets,Average,Average,mains gas (not community),0,NO DATA!,,,,N,natural,"24, Dryden Close",Fareham,Fareham,FAREHAM,England and Wales: 1996-2002,2015-10-26 09:35:01,rental (social),,,1.0006E+11
"11, Frogmore Close",SL1 9BN,(),,,4981902578,C,B,72,89,House,End-Terrace,2017-05-25,E06000039,E14000930,,2017-05-31,rental (social),72,89,195,59,2.1,34,0.7,53,53,336,308,130,75,60,Unknown,Y,NODATA!,,,2106,100,double glazing installed during or after 2002,Normal,0,3,3,75,0,From main system,Good,Good,"Solid, no insulation (assumed)",NO DATA!,N/A,Fully double glazed,Good,Good,"Timber frame, as built, insulated (assumed)",Good,Good,None,N/A,N/A,"Pitched, 200 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 75% of fixed outlets,Very Good,Very Good,mains gas (not community),0,NO DATA!,,,,N,natural,"11, Frogmore Close",Slough,Slough,SLOUGH,England and Wales: 1983-1990,2017-05-31 05:40:45,rental (social),,,1.0008E+11
"63, Stag Hill",RG22 6JF,(),,,5681214668,C,C,75,75,House,End-Terrace,2009-06-26,E07000084,E14000545,Hampshire,2009-06-29,rental (social),71,71,207,207,2.5,35,2.5,34,34,336,336,112,112,72,Single,Y,NO DATA!,,,2106,100,double glazing installed before 2002,Normal,0,3,3,100,0,From main system,Very Good,Very Good,"Solid, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,None,N/A,N/A,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Very Good,Very Good,"Programmer, room thermostat and TRVs",Average,Average,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.3,0,N,natural,"63, Stag Hill",Basingstoke and Deane,Basingstoke,BASINGSTOKE,England and Wales: 1950-1966,2009-06-29 10:44:58,rental (social),,,1.0006E+11
"126, Quilter Road",RG22 4HB,(),,,4328141378,C,B,69,88,House,End-Terrace,2015-01-09,E07000084,E14000545,Hampshire,2015-01-13,rental (social),66,87,220,73,3,39,1,65,50,509,404,148,72,78,Single,Y,NODATA!,,,2106,100,double glazing installed before 2002,Normal,0,4,4,70,0,From main system,Good,Good,"Solid, no insulation (assumed)",NO DATA!,N/A,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,None,N/A,N/A,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 70% of fixed outlets,Very Good,Very Good,mains gas (not community),0,NO DATA!,,,,N,natural,"126, Quilter Road",Basingstoke and Deane,Basingstoke,BASINGSTOKE,England and Wales: 1967-1975,2015-01-13 11:19:48,rental (social),,,1.0006E+11
"5, Sperrin Close",RG22 5BT,(),,,6320241378,C,B,74,89,House,Mid-Terrace,2015-01-09,E07000084,E14000545,Hampshire,2015-01-13,rental (social),73,88,167,60,2.7,29,1,98,57,436,379,130,83,91,Single,Y,NODATA!,,,2106,100,double glazing installed before 2002,Normal,0,5,5,27,0,From main system,Good,Good,"Solid, no insulation (assumed)",NO DATA!,N/A,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,None,N/A,N/A,"Pitched, 200 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 27% of fixed outlets,Average,Average,mains gas (not community),0,NO DATA!,,,,N,natural,"5, Sperrin Close",Basingstoke and Deane,Basingstoke,BASINGSTOKE,England and Wales: 1950-1966,2015-01-13 11:47:54,rental (social),,,1.0006E+11
"7, Edith Court",SP8 4PN,one_record_found,,,6156324968,C,A,70,95,House,Enclosed End-Terrace,2013-03-20,E06000059,E14000839,Dorset,2013-03-22,rental (social),75,101,236,-52,1.3,45,-0.2,26,26,268,221,66,40,28,Single,Y,NODATA!,,,2107,100,double glazing installed during or after 2002,Normal,0,2,2,67,0,From main system,Good,Good,"Solid, no insulation (assumed)",N/A,N/A,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Good,Good,None,N/A,N/A,"Pitched, 150 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, TRVs and bypass",Average,Average,Low energy lighting in 67% of fixed outlets,Good,Good,mains gas (not community),0,NO DATA!,,,0,,natural,"7, Edith Court",Dorset,North Dorset,GILLINGHAM,England and Wales: 1983-1990,2013-03-22 10:22:06,rental (social),6,4,1.00041E+11
"8, Ridouts",DT11 0PL,one_record_found,Okeford Fitzpaine,,1064855078,C,B,76,88,House,End-Terrace,2013-10-10,E06000059,E14000839,Dorset,2013-10-10,rental (social),78,90,127,42,1.9,24,0.7,60,60,322,325,116,73,79,Single,Y,NODATA!,,,2106,100,double glazing installed during or after 2002,Normal,0,4,4,80,0,From main system,Good,Good,"Suspended, insulated (assumed)",N/A,N/A,Fully double glazed,Good,Good,"Cavity wall, as built, insulated (assumed)",Good,Good,None,N/A,N/A,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 80% of fixed outlets,Very Good,Very Good,mains gas (not community),0,NO DATA!,,,0,,natural,"8, Ridouts, Okeford Fitzpaine",Dorset,North Dorset,BLANDFORD FORUM,England and Wales: 2003-2006,2013-10-10 13:00:41,rental (social),10,8,10013285478
"4, Taylor Hayes",SP8 5PS,one_record_found,Silton,,4708694668,C,C,69,72,House,Semi-Detached,2009-07-21,E06000059,E14000839,Dorset,2009-07-22,rental (social),61,64,191,174,4.8,40,4.4,100,60,501,479,182,171,117,Single,N,NO DATA!,,,2106,100,double glazing installed before 2002,Normal,0,5,5,33,0,From main system,Average,Average,"Solid, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,None,N/A,N/A,"Pitched, 200mm loft insulation",Good,Good,"Boiler and radiators, oil",Average,Average,"Programmer, room thermostat and TRVs",Average,Average,Low energy lighting in 33% of fixed outlets,Average,Average,oil - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.3,0,N,natural,"4, Taylor Hayes, Silton",Dorset,North Dorset,GILLINGHAM,England and Wales: 1950-1966,2009-07-22 06:29:09,rental (social),,,10012437719
"11, Fairfield Close",DT11 0TS,one_record_found,Okeford Fitzpaine,,6578534768,C,C,74,78,House,Mid-Terrace,2010-04-01,E06000059,E14000839,Dorset,2010-04-01,rental (social),70,75,236,194,2.4,39,1.9,33,33,343,303,130,103,60.18,Single,Y,NO DATA!,,,2106,100,double glazing installed before 2002,Normal,0,3,3,100,0,From main system,Good,Good,"Solid, limited insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, as built, insulated (assumed)",Good,Good,None,N/A,N/A,"Pitched, 150 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.29,0,N,natural,"11, Fairfield Close, Okeford Fitzpaine",Dorset,North Dorset,BLANDFORD FORUM,England and Wales: 1996-2002,2010-04-01 10:46:52,rental (social),,,10013283913
1 Oldlands,SP8 4JJ,one_record_found,New Road,,9714390778,C,B,69,83,House,Semi-Detached,2020-07-09,,E14000839,,2020-07-13,rental (social),65,80,201,104,3.7,35,2,119,79,618,532,106,76,105,Single,Y,NODATA!,,,2106,100,double glazing installed during or after 2002,Normal,1,5,5,50,0,From main system,Good,Good,"Solid, no insulation (assumed)",NO DATA!,N/A,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Average,Average,None,N/A,N/A,"Pitched, 150 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 50% of fixed outlets,Good,Good,mains gas (not community),0,NO DATA!,,,,N,natural,"1 Oldlands, New Road",,North Dorset,GILLINGHAM,England and Wales: 1950-1966,2020-07-13 06:59:36,rental (social),,,1.00041E+11
"61, Ten Acres",SP7 8PW,one_record_found,,,4183283078,D,B,63,87,House,Semi-Detached,2013-01-07,E06000059,E14000839,Dorset,2013-01-07,rental (social),60,88,220,54,3.6,42,0.9,76,47,565,357,135,77,84,Single,Y,NODATA!,,,2106,100,double glazing installed before 2002,Normal,0,5,5,40,0,From main system,Good,Good,"Solid, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,None,N/A,N/A,"Pitched, 200 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 40% of fixed outlets,Average,Average,mains gas (not community),0,NO DATA!,,,0,,natural,"61, Ten Acres",Dorset,North Dorset,SHAFTESBURY,England and Wales: 1967-1975,2013-01-07 14:14:07,rental (social),10,4,1.00041E+11
"33, Coronation Road",SP8 4BT,one_record_found,,,4142227768,C,C,72,74,House,Mid-Terrace,2010-07-08,E06000059,E14000839,Dorset,2010-07-08,rental (social),70,71,200,195,3,33,2.9,71,48,453,458,118,118,89.41,Single,Y,NO DATA!,,,2106,100,double glazing installed during or after 2002,Normal,0,5,5,50,1,From main system,Very Good,Very Good,"Solid, no insulation (assumed)",N/A,N/A,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Good,Good,"Room heaters, dual fuel (mineral and wood)",N/A,N/A,"Pitched, 200 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Very Good,Very Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 50% of fixed outlets,Good,Good,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.26,0,N,natural,"33, Coronation Road",Dorset,North Dorset,GILLINGHAM,England and Wales: 1950-1966,2010-07-08 14:46:52,rental (social),,,1.00041E+11
"37, Filbridge Rise",DT10 1BP,one_record_found,,,6880347078,D,B,65,84,House,Semi-Detached,2013-05-08,E06000059,E14000839,Dorset,2013-05-08,rental (social),65,85,194,68,3.2,37,1.2,84,50,569,421,106,82,88,Single,Y,NODATA!,,,2106,100,double glazing installed before 2002,Normal,0,5,5,30,0,From main system,Good,Good,"Solid, no insulation (assumed)",N/A,N/A,Fully double glazed,Average,Average,"Cavity wall, as built, partial insulation (assumed)",Average,Average,"Room heaters, electric",N/A,N/A,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 30% of fixed outlets,Average,Average,mains gas (not community),0,NO DATA!,,,0,,natural,"37, Filbridge Rise",Dorset,North Dorset,STURMINSTER NEWTON,England and Wales: 1976-1982,2013-05-08 14:43:06,rental (social),10,3,1.00041E+11
"3, Windsor Way",RG31 4UY,one_record_found,Calcot,,7044937668,D,C,60,73,House,Mid-Terrace,2009-07-14,E06000037,E14000890,,2009-09-15,rental (social),53,69,352,231,4.1,59,2.7,43,34,526,405,190,102,79.23,Single,Y,NO DATA!,,,2104,0,single glazing,Normal,0,3,3,75,0,"From main system, no cylinderstat",Poor,Average,"Solid, no insulation (assumed)",N/A,N/A,Single glazed,Very Poor,Very Poor,"Cavity wall, filled cavity",Good,Good,"Room heaters, mains gas",N/A,N/A,"Pitched, 300 mm loft insulation",Very Good,Very Good,"Boiler and radiators, mains gas",Average,Good,Programmer and room thermostat,Poor,Poor,Low energy lighting in 75% of fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.3,0,N,natural,"3, Windsor Way, Calcot",West Berkshire,Reading West,READING,England and Wales: 1950-1966,2009-09-15 06:49:25,rental (social),,,1.0008E+11
"3, Sandringham Way",RG31 4XA,one_record_found,Calcot,,5815186668,D,C,64,73,House,Mid-Terrace,2009-07-13,E06000037,E14000890,,2009-08-31,rental (social),58,69,293,219,3.8,49,2.9,66,39,533,426,138,112,89.45,Single,Y,NO DATA!,,,2104,0,single glazing,Normal,0,4,4,30,0,From main system,Good,Good,"Solid, no insulation (assumed)",N/A,N/A,Single glazed,Very Poor,Very Poor,"Cavity wall, filled cavity",Good,Good,None,N/A,N/A,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Poor,Poor,Low energy lighting in 30% of fixed outlets,Average,Average,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.27,0,N,natural,"3, Sandringham Way, Calcot",West Berkshire,Reading West,READING,England and Wales: 1950-1966,2009-08-31 11:26:20,rental (social),,,1.0008E+11
6 Corporation Cottages,RG14 1NT,(),Pelican Lane,Speenhamland,2161368768,D,C,66,75,House,Mid-Terrace,2010-07-23,E06000037,E14000830,,2010-08-05,rental (social),60,71,293,214,3.5,49,2.6,47,38,502,401,158,112,80.4,Single,Y,NO DATA!,,,2104,0,not defined,Normal,0,3,3,75,0,From main system,Average,Good,"Suspended, no insulation (assumed)",N/A,N/A,Single glazed,Very Poor,Very Poor,"Cavity wall, filled cavity",Good,Good,"Room heaters, mains gas",N/A,N/A,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Average,Good,Programmer and room thermostat,Average,Average,Low energy lighting in 75% of fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.43,0,N,natural,"6 Corporation Cottages, Pelican Lane, Speenhamland",West Berkshire,Newbury,NEWBURY,England and Wales: 1900-1929,2010-08-05 00:27:49,rental (social),,,1.00081E+11
"34, Kings Meadow",GL54 2JZ,one_record_found,Bourton-on-the-Water,,8275173568,C,C,69,73,House,End-Terrace,2008-11-03,E07000079,E14000991,Gloucestershire,2008-11-03,rental (social),66,69,250,228,3,42,2.7,63,32,354,342,95,89,71.1,Single,Y,NO DATA!,,,2107,0,single glazing,Normal,0,5,5,0,0,From main system,Very Good,Very Good,"Solid, no insulation (assumed)",N/A,N/A,Single glazed,Very Poor,Very Poor,"Cavity wall, as built, insulated (assumed)",Good,Good,None,N/A,N/A,"Pitched, insulated (assumed)",Average,Average,"Boiler and radiators, mains gas",Very Good,Very Good,"Programmer, TRVs and bypass",Poor,Poor,No low energy lighting,Very Poor,Very Poor,mains gas - this is for backwards compatibility only and should not be used,0,NO DATA!,,2.3,0,N,natural,"34, Kings Meadow, Bourton-on-the-Water",Cotswold,The Cotswolds,CHELTENHAM,England and Wales: 1983-1990,2008-11-03 15:52:35,rental (social),,,1.0012E+11
